38 Provinsi,,
,Jumlah Desa Menurut Provinsi dan Letak Geografi,
,Tepi Laut,Bukan Tepi Laut
,2024,2024
ACEH,724,5792
SUMATERA UTARA,430,5683
SUMATERA BARAT,135,1151
RIAU,245,1625
JAMBI,27,1558
SUMATERA SELATAN,21,3262
BENGKULU,183,1331
LAMPUNG,237,2420
KEP. BANGKA BELITUNG,160,233
KEP. RIAU,369,61
DKI JAKARTA,16,251
JAWA BARAT,220,5737
JAWA TENGAH,340,8223
DI YOGYAKARTA,33,405
JAWA TIMUR,662,7832
BANTEN,132,1420
BALI,177,540
NUSA TENGGARA BARAT,292,874
NUSA TENGGARA TIMUR,1016,2522
KALIMANTAN BARAT,161,1996
KALIMANTAN TENGAH,40,1537
KALIMANTAN SELATAN,173,1842
KALIMANTAN TIMUR,152,900
KALIMANTAN UTARA,64,420
SULAWESI UTARA,776,1062
SULAWESI TENGAH,1022,1000
SULAWESI SELATAN,524,2536
SULAWESI TENGGARA,937,1355
GORONTALO,199,533
SULAWESI BARAT,153,497
MALUKU,1070,192
MALUKU UTARA,946,263
PAPUA BARAT,355,615
PAPUA BARAT DAYA,277,779
PAPUA,551,478
PAPUA SELATAN,86,604
PAPUA TENGAH,63,1145
PAPUA PEGUNUNGAN,0,2634
INDONESIA,12968,71308