38 Provinsi,,,,,,
,Jumlah Desa/Kelurahan Yang Memiliki Sarana Kesehatan Menurut Provinsi (Desa),,,,,
,Rumah Sakit,Rumah Sakit Bersalin,Poliklinik,Puskesmas,Puskesmas Pembantu,Apotek
,2018,2018,2018,2018,2018,2018
ACEH,64,225,258,395,971,346
SUMATERA UTARA,199,441,800,661,1887,740
SUMATERA BARAT,54,139,127,294,721,257
RIAU,55,207,329,272,1033,351
JAMBI,36,151,103,231,654,211
SUMATERA SELATAN,65,248,195,403,935,244
BENGKULU,20,5,49,190,456,141
LAMPUNG,53,238,307,350,936,356
KEP. BANGKA BELITUNG,21,25,25,63,148,73
KEP. RIAU,23,35,76,88,243,90
DKI JAKARTA,119,156,230,257,3,242
JAWA BARAT,292,1245,1670,1170,1800,1758
JAWA TENGAH,274,871,1232,921,1832,2068
DI YOGYAKARTA,61,102,158,126,300,226
JAWA TIMUR,317,1183,1101,1036,2338,1842
BANTEN,87,280,467,267,346,402
BALI,49,61,71,124,495,214
NUSA TENGGARA BARAT,31,20,72,173,550,237
NUSA TENGGARA TIMUR,48,42,108,414,1030,172
KALIMANTAN BARAT,39,95,98,264,836,123
KALIMANTAN TENGAH,19,63,95,221,1101,85
KALIMANTAN SELATAN,34,126,131,253,464,162
KALIMANTAN TIMUR,39,56,125,199,727,196
KALIMANTAN UTARA,11,4,15,59,179,49
SULAWESI UTARA,46,77,68,217,540,170
SULAWESI TENGAH,29,58,60,224,698,181
SULAWESI SELATAN,75,121,180,493,1394,490
SULAWESI TENGGARA,31,56,40,283,557,189
GORONTALO,14,2,42,96,250,97
SULAWESI BARAT,10,8,16,100,340,47
MALUKU,27,20,31,235,481,66
MALUKU UTARA,20,11,28,142,277,76
PAPUA BARAT,16,10,29,177,495,79
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,41,26,115,422,1146,125
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,2319,6407,8451,10820,26163,12105