Provinsi,Jumlah Desa
Aceh,6516
Sumatera Utara,6113
Sumatera Barat,1265
Riau,1867
Jambi,1585
Sumatera Selatan,3278
Bengkulu,1514
Lampung,2654
Kepulauan Bangka Belitung,393
Kepulauan Riau,419
DKI Jakarta,267
Jawa Barat,5957
Jawa Tengah,8563
DI Yogyakarta,438
Jawa Timur,8494
Banten,1552
Bali,717
Nusa Tenggara Barat,1166
Nusa Tenggara Timur,3442
Kalimantan Barat,2151
Kalimantan Tengah,1574
Kalimantan Selatan,2015
Kalimantan Timur,1038
Kalimantan Utara,484
Sulawesi Utara,1838
Sulawesi Tengah,2020
Sulawesi Selatan,3060
Sulawesi Tenggara,2292
Gorontalo,732
Sulawesi Barat,650
Maluku,1248
Maluku Utara,1198
Papua Barat,969
Papua Barat Daya,1018
Papua,1029
Papua Selatan,690
Papua Tengah,1208
Papua Pegunungan,2634
Indonesia,84048
,
Catatan,
1Termasuk Unit Permukiman Transmigrasi (UPT)/ Include Transmigration Settlement Unit ,